neighbourhoodd,2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,crimerate,brightness,type,community,target
Old Barrhaven East,23683.95102,15.91795219,24112.20226,17.41856656,2,24436.73595,15.18206035,24,24883.55599,0,16.315996,9,25109.07909,16.40840743,2,safe,70,0
Old Barrhaven West,19796.46741,11.76977666,20071.53064,12.00705638,5,20236.15758,9.142051761,69,20397.46505,24883.55599,11.12883387,26,20423.81921,12.43645948,7,safe,71,0
Old Ottawa East,8273.45521,16.43811401,8271.19572,22.24587668,0,8454.570813,26.02142733,111,8780.498641,20397.46505,30.52218455,0,9308.525814,22.13024963,6,safe,937,0
Old Ottawa South,5927.856452,33.06422846,5914.523875,24.00869504,0,5982.525857,23.06717987,3,5994.337804,8780.498641,26.02455936,0,5953.260297,26.03615368,0,safe,938,0
Orléans Industrial,149.9955869,220.0064727,148.6780409,228.6820554,0,147.299812,285.1327467,0,146.0755074,5994.337804,232.7563368,0,144.9823493,179.3321748,0,highrisk,82,0
Orléans Village - Chateauneuf,11134.21844,18.41170991,11084.66798,18.67444297,4,11058.91396,12.11692219,4,11015.52019,146.0755074,14.88808492,13,10979.42009,16.39430849,5,safe,83,0
Osgoode - Vernon,5614.011644,13.18130504,5623.703264,8.713119754,1,5678.387773,11.27080477,2,5692.832066,11015.52019,13.35012154,1,5711.407201,13.48179131,0,safe,77,0
Overbrook - McArthur,19275.37542,73.66912285,19346.05746,71.12560287,0,19420.00714,79.96907463,2,19795.06091,5692.832066,85.22327904,4,19960.95625,101.598339,0,highrisk,939,0
Parkwood Hills - Stewart Farm,3620,33.42541436,3620,40.05524862,0,3620,27.3480663,0,3620,19795.06091,24.86187845,0,3618,32.06191266,0,less safe,81,0
Pineview,6719.052527,19.19913552,6743.959112,16.90401708,0,6736.423087,18.4073949,0,6745.480923,3620,20.75463582,0,6749.229536,22.6692542,0,safe,940,0
Playfair Park - Lynda Park - Guildwood Estates,6687.363638,15.40218322,6700.652028,19.2518578,0,6686.115142,14.05898612,53,6691.006436,6745.480923,16.7388869,0,6698.93369,10.74797921,0,safe,941,0
Portobello South,19965.52967,18.73228541,20372.05122,19.63474348,35,20826.88454,20.98249497,29,21884.73155,6691.006436,22.5271212,0,22586.55029,25.76754717,0,safe,86,0
Qualicum - Redwood Park,4395.078052,22.98025173,4458.385583,22.20534724,0,4423.184463,22.15598305,0,4262.269624,21884.73155,21.5847443,0,4318.539178,25.24001648,0,safe,87,0
Queenswood Heights,12857.09123,17.3445141,12821.45918,16.6127737,0,12785.44759,17.67634637,0,12724.42582,4262.269624,15.01050049,0,12655.72663,14.69690405,1,safe,942,0
Richmond,7906.99762,22.13229451,7973.983825,17.43168823,3,8186.515791,17.34559654,0,8904.178103,12724.42582,17.85678567,9,9618.737256,16.63420008,23,safe,88,0
Rideau Crest - Davidson Heights,13002.80662,14.3815105,12951.81959,13.97487039,0,12912.47,10.53245428,0,12875.95281,8904.178103,14.21254044,0,12869.6426,15.5404471,0,safe,943,0
Riverside Park,4986.831747,22.65967767,5001.34147,23.59366996,1,4994.424027,20.42277537,,4996.03891,12875.95281,22.01744261,1,5002.578206,18.79031094,9,safe,944,0
Riverside South - Leitrim,14441.34614,13.22591386,14886.48249,11.21823105,0,15721.65701,13.54819024,112,16911.28429,4996.03891,12.5951404,0,18170.10339,18.98723373,5,safe,945,0
Riverview,3098,64.55777921,3098,80.37443512,0,3098,57.1336346,0,3098,16911.28429,61.00710136,0,3105.005662,70.20921176,0,risk,90,0
Rockcliffe Park,1798.82406,30.57553055,1803.164668,17.74657666,0,1815.684452,23.68252917,1,1809.126205,3098,23.76838049,0,1818.633111,47.28826252,0,less safe,946,0
Rothwell Heights - Beacon Hill North,10420.26323,19.86514116,10437.75496,17.24508773,0,10438.35502,22.89632798,7,10393.75354,1809.126205,18.47263352,0,10442.76666,19.91809324,1,safe,947,0
Skyline - Fisher Heights,5935.945574,35.37768286,5914.648149,40.07000823,0,5829.513231,44.77217731,0,5820.273477,17355.68715,42.78149489,0,5834.808459,51.07279906,0,risk,93,0
South Keys - Greenboro West,4666.596254,93.64427008,4666.868153,72.21116795,0,4847.762385,60.02769461,1,4843.155681,5820.273477,88.16565646,0,4837.397685,94.26555964,0,risk,949,0
Stittsville,32024.51344,17.36170015,33012.36258,17.23596724,3,34067.94134,14.35367037,242,37579.13907,4843.155681,14.79544273,79,41575.23257,16.33183889,36,safe,950,0
