,Pole ID,Install Pole Date,Install Light Date and Time,Install Light Date,Street Light installed month,Street Light installed year,Street Light installed month and year,Head Style,Refractor,Light Type,Bracket Length,Pole Height,Pole Type,Number of Lights,Light Source,Wattage,Year 1 LE,Street Name,Neighbourhood
949,2061673,,2017/06/27 00:00:00+00,6/27/2017,June,2017,20-Jan,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
950,2071238,,2017/06/27 00:00:00+00,6/27/2017,June,2017,20-May,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,85,TERRY FOX DRIVE,Kanata
951,11418843,2006/06/01 00:00:00+00,2017/09/11 00:00:00+00,9/11/2017,September,2017,20-Jan,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,BRECKENBRIDGE CRESCENT,Kanata
952,11418842,2006/06/01 00:00:00+00,2017/09/11 00:00:00+00,9/11/2017,September,2017,20-Jan,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
953,11417952,2007/07/01 00:00:00+00,2017/10/04 00:00:00+00,10/4/2017,October,2017,18-Nov,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,40,WINDANCE CRESCENT,Stittsville - Basswood
954,11417966,2007/07/01 00:00:00+00,2017/10/04 00:00:00+00,10/4/2017,October,2017,16-Sep,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,40,WINDANCE CRESCENT,Kanata
955,12971633,2011/08/01 00:00:00+00,2017/10/11 00:00:00+00,10/11/2017,October,2017,20-Jan,A01, ,SL,2.4,9.1,HAMPTON,1,LED,64,40,BATTERSEA CRESCENT,Kanata-Katimavik-Hazeldean
956,2061915,,2017/10/12 00:00:00+00,10/12/2017,October,2017,20-May,LGCL-2, ,SL,2.4,9.8,ALUMINUM,1,LED,68,61,KANATA AVENUE,Stittsville - Basswood
957,2062242,2011/07/01 00:00:00+00,2017/10/12 00:00:00+00,10/12/2017,October,2017,18-Nov,LGCL-2, ,SL,2.4,9.8,ALUMINUM,1,LED,68,43,KANATA AVENUE,Kanata-Katimavik-Hazeldean
958,15436401,2011/07/01 00:00:00+00,2017/06/21 00:00:00+00,6/21/2017,June,2017,20-Jan,GCL160G, ,SL,2.4,9.8,ALUMINUM,1,LED,135,109,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
959,2056473,,2017/10/12 00:00:00+00,10/12/2017,October,2017,20-Jan,LGCL-2, ,SL,2.4,9.8,ALUMINUM,1,LED,68,61,KANATA AVENUE,Kanata
960,11417986,2007/07/01 00:00:00+00,2017/10/04 00:00:00+00,10/4/2017,October,2017,20-Jan,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,57,CELTIC RIDGE CRESCENT,Stittsville
961,11417975,2007/07/01 00:00:00+00,2017/10/04 00:00:00+00,10/4/2017,October,2017,20-Jan,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,CELTIC RIDGE CRESCENT,Kanata-Katimavik-Hazeldean
962,2072101,,2017/05/23 00:00:00+00,5/23/2017,May,2017,20-May,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,75,MARCH ROAD,Stittsville - Basswood
963,2055265,,2017/05/24 00:00:00+00,5/24/2017,May,2017,20-Jan,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,109,MARCH ROAD,Kanata
964, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,18-Nov,LNX1, ,PL,0,6.1,HAMPTON,1,LED,27,0,VIVERA PLACE,Stittsville - Basswood
965, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,20-Jan,LNX1, ,PL,0,6.1,HAMPTON,1,LED,27,0,VIVERA PLACE,Kanata
966,2062664,,2018/11/19 00:00:00+00,11/19/2018,November,2018,18-Dec,GCJ220H 3K, ,SL,1.8,9.1,HAMPTON,1,LED,68,49,KINALEA CRESCENT,Stittsville - Basswood
967,2055592,2011/07/01 00:00:00+00,2017/08/27 00:00:00+00,8/27/2017,August,2017,19-Feb,GCL160G, ,SL,1.8,11.2,JU-ALUM,1,LED,135,122,TERRY FOX DRIVE,Stittsville
968,2055593,2011/07/01 00:00:00+00,2017/08/27 00:00:00+00,8/27/2017,August,2017,19-Feb,GCL160G, ,SL,1.8,11.2,JU-ALUM,1,LED,135,122,TERRY FOX DRIVE,Kanata
969,2063206,,2017/05/24 00:00:00+00,5/24/2017,May,2017,17-Jun,GCM240H, ,SL,2.4,11.2,ALUMINUM,1,LED,138,75,MARCH ROAD,Kanata
970,2055159,,2017/05/24 00:00:00+00,5/24/2017,May,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,85,MARCH ROAD,Stittsville
971,11416032,2008/09/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,18-Dec,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,51,STRATHCARRON CRESCENT,Kanata-Katimavik-Hazeldean
972,2069913,,2017/05/23 00:00:00+00,5/23/2017,May,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,85,MARCH ROAD,Kanata-Katimavik-Hazeldean
973,11416143,2008/09/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,19-Feb,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,APPLECROSS CRESCENT,Kanata
974, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,20-May,L40U, ,SL,1.4,9.1,MADISON,1,LED,80,0,VIVERA PLACE,Kanata
975,2061082,,2017/05/23 00:00:00+00,5/23/2017,May,2017,16-Oct,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,MARCH ROAD,Kanata-lakes
976, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,16-Oct,L40U, ,SL,1.4,9.1,MADISON,1,LED,55,0,VIVERA PLACE,Kanata-Katimavik-Hazeldean
977, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,18-Dec,L40U, ,SL,1.4,9.1,MADISON,1,LED,55,0,VIVERA PLACE,Kanata-Katimavik-Hazeldean
978,2054920,,2017/06/28 00:00:00+00,6/28/2017,June,2017,17-Jun,LGCJ-3, ,SL,2.4,11.2,ALUMINUM,1,LED,68,37,TERRY FOX DRIVE,Kanata
979,2061079,,2017/05/23 00:00:00+00,5/23/2017,May,2017,16-Oct,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,109,MARCH ROAD,Kanata-Katimavik-Hazeldean
