year,light_type,Bracket Length,Pole Height,Pole Type,light_number,Light Source,wattage,Street Name,neighbourhood
2018,SL,1.4,9.1,HAMPTON,1,LED,55,HAWKS LANDING CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOLISTON CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOLISTON CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORESTBROOK STREET,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.6,NEWPORT,1,LED,92,FLAMBOROUGH WAY,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,55,GERANIUM WALK,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ROY ERRINGTON WAY,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2017,SL,2.4,10.6,NEWPORT,1,LED,150,KLONDIKE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,2.4,10.7,NEWPORT,1,LED,92,KLONDIKE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ROY ERRINGTON WAY,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,DUNOLLIE CRESCENT,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,55,SAMANTHA EASTOP AVENUE,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORESTBROOK STREET,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECHIN CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,HUNTERBROOK STREET,Billings Bridge - Alta Vista
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECHIN CRESCENT,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,35,EAGLE CREST HEIGHTS,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORESTBROOK STREET,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,MADISON,1,LED,55,BOUNDSTONE WAY,Kanata-Lakes
2019,SL,1.8,11.2,ALUMINUM,1,LED,186,PALLADIUM DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,PENRITH STREET,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2017,SL,2.4,10.7,NEWPORT,1,LED,92,BRADY AVENUE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,35,EAGLEHEAD CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOLISTON CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,TESKIWA CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,EDGEMOORE CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,SCAMPTON DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,TESKIWA CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,EDGEMOORE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ROY ERRINGTON WAY,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Carp
2018,SL,3,0,WOOD,1,LED,138,Rothbourne Rd.,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,EDGEMOORE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Carp
2018,SL,3,0,WOOD,1,LED,68,ROTHBOURNE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.7,NEWPORT,1,LED,92,BRADY AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,MADISON,1,LED,55,GABRIOLA WAY,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,OLD SECOND LINE ROAD,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,35,EAGLE CREST HEIGHTS,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,DUNOLLIE CRESCENT,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,55,DISCOVERY CRESECENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORESTBROOK STREET,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Stittsville - Basswood
2018,SL,1.4,9.1,HAMPTON,1,LED,55,SAMANTHA EASTOP AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.6,NEWPORT,1,LED,92,OLD CARP ROAD,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,55,HAWKS LANDING CRESCENT,Kanata
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Beaverbrook
2017,SL,2.4,10.6,NEWPORT,1,LED,92,HALTON TERRACE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOODMILL TERRACE,Kanata-Katimavik-Hazeldean
2019,SL,1.8,11.2,ALUMINUM,1,LED,186,PALLADIUM DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,55,EAGLEHEAD CRESCENT,Kanata-Katimavik-Hazeldean
2019,None,2.4,11.2,ALUMINUM,1,LED,310,PALLADIUM DRIVE,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOODCHASE STREET,Kanata
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata-Katimavik-Hazeldean
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Stittsville - Basswood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,55,BANDELIER WAY,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.7,NEWPORT,1,LED,92,KLONDIKE ROAD,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,TESKIWA CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,EDGEMOORE CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,SCAMPTON DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ROY ERRINGTON WAY,Kanata-lakes
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,2.4,10.7,NEWPORT,1,LED,92,KLONDIKE ROAD,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,EDGEMOORE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,TESKIWA CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ABBEYDALE CIRCLE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ABBEYDALE CIRCLE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,SCAMPTON DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,HASLEMERE AVENUE,Kanata-Beaverbrook
2017,SL,1.8,9.1,HAMPTON,1,LED,64,PENRITH STREET,Kanata-lakes
2017,SL,1.8,10.6,NEWPORT,1,LED,92,HALTON TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECHIN CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,DUNOLLIE CRESCENT,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,75,WEST RIDGE DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECHIN CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,55,EAGLE CREST HEIGHTS,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,MADISON,1,LED,55,GABRIOLA WAY,Stittsville
2017,SL,2.4,9.8,ALUMINUM,1,LED,186,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,55,HAWKS LANDING CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,PALTON AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BEAM STREET,Kanata-Beaverbrook
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOLISTON CRESCENT,Kanata-Beaverbrook
2017,SL,2.4,10.6,NEWPORT,1,LED,92,HALTON TERRACE,Stittsville
2017,SL,2.4,10.6,NEWPORT,1,LED,92,HALTON TERRACE,Stittsville
